REGIAO:;CO
UF:;MT
ESTACAO:;ALTO ARAGUAIA
CODIGO (WMO):;A909
LATITUDE:;-17,33944444
LONGITUDE:;-53,22444443
ALTITUDE:;753,28
DATA DE FUNDACAO:;22/09/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;0;929,1;929,1;928,5;;23,9;19,6;24,7;23,9;19,6;18,2;77;68;77;45;4,3;2,2;
2023/01/01;0200 UTC;0;929,5;929,5;929,1;;23,3;20,2;23,9;23,3;20,2;19,6;83;77;83;27;4,7;1,6;
2023/01/01;0300 UTC;0;928,8;929,5;928,8;;22,8;20,4;23,3;22,8;20,4;20,1;86;82;86;49;3,7;1,5;
2023/01/01;0400 UTC;0;928;928,8;928;;22,4;20,3;22,8;22,4;20,5;20,3;88;86;88;65;3,2;2,1;
2023/01/01;0500 UTC;0;927,3;928;927,3;;21,9;19,9;22,4;21,9;20,3;19,9;90;88;88;47;3,7;2,2;
2023/01/01;0600 UTC;0;927,2;927,3;927,2;;21,9;19;21,9;21,8;19,8;19;88;84;84;72;3,8;2,2;
2023/01/01;0700 UTC;0;927,3;927,5;927,2;;21,6;18,9;21,9;21,4;19;18,9;86;84;85;45;3,7;1,8;
2023/01/01;0800 UTC;0;927,4;927,4;927,2;;21,3;18,9;21,9;21,3;19;18,7;86;82;86;58;4,1;2;
2023/01/01;0900 UTC;0;928,2;928,2;927,4;;20,9;19,1;21,3;20,9;19,1;18,9;89;86;89;67;2,8;1,1;
2023/01/01;1000 UTC;0;928,9;928,9;928,2;98,8;21,2;19,6;21,3;20,9;19,6;19;91;88;91;115;2,4;,7;
2023/01/01;1100 UTC;0;929,4;929,4;928,8;588,5;22,8;19,6;22,9;21,2;19,8;19,4;91;82;82;58;3,2;1,8;
2023/01/01;1200 UTC;0;930;930;929,4;1994,8;25,6;20,9;25,6;22,8;20,9;19,5;83;74;75;16;5,6;3,1;
2023/01/01;1300 UTC;0;930,1;930,2;930;2796,6;26,7;20,2;27;25,4;21,3;20,2;75;67;67;16;6,6;3,3;
2023/01/01;1400 UTC;0;929,9;930,1;929,9;2903,4;27,9;19;28,1;26,5;21,2;19;71;59;59;5;7,1;3,6;
2023/01/01;1500 UTC;0;929,1;929,9;929,1;3816,4;29,1;18,8;29,3;27,7;20,5;18,1;63;52;54;25;6,9;3,7;
2023/01/01;1600 UTC;0;928,4;929,1;928,4;3800,5;29;19,8;30,5;28,8;20,1;17,5;58;48;58;27;7,7;3,9;
2023/01/01;1700 UTC;0;927,4;928,4;927,4;3793,3;30;18;30,7;29;20,8;17,7;59;48;49;8;7,7;3,2;
2023/01/01;1800 UTC;0;926,4;927,5;926,4;3465;30,6;18,1;30,9;29,9;18,5;16;50;41;47;328;7;2,2;
2023/01/01;1900 UTC;0;925,4;926,4;925,4;2817,4;30,7;16,3;31,6;30,1;18,9;15,9;49;40;42;354;6,4;3,3;
2023/01/01;2000 UTC;,4;925,9;926;925,3;1067,7;24,5;19,7;31;23,9;20,2;15,8;79;41;75;60;9,7;2,9;
2023/01/01;2100 UTC;0;925,7;925,9;925,5;516,1;27,5;19,1;27,5;24,5;20,4;18,3;76;59;60;323;5,3;1,4;
2023/01/01;2200 UTC;0;926,8;926,9;925,7;202,7;25,3;20,7;27,6;25,3;21;18,2;76;57;76;56;4,7;2,4;
2023/01/01;2300 UTC;0;927,8;927,8;926,8;;24,8;20,7;25,3;24,7;20,8;20,2;79;74;78;58;4,3;1,9;
2023/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0200 UTC;0;928,7;929,1;928,6;;22,9;20,5;23,6;22,9;20,7;20,2;87;81;86;144;4,4;2;
2023/01/02;0300 UTC;0;928;928,7;927,9;;22,9;20,4;23,3;22,9;20,6;20,2;86;83;86;30;3,5;,9;
2023/01/02;0400 UTC;0;927,7;928;927,7;;22,3;20,6;23;22,3;20,6;20,4;90;86;90;133;2,8;1,9;
2023/01/02;0500 UTC;0;927,1;927,7;927;;21,6;22,2;22,3;21,6;22,2;20,4;;90;;230;2,9;1,2;
2023/01/02;0600 UTC;0;927,3;927,4;927,1;;22;22,6;22,1;21,5;22,7;21,9;;99;;118;1,8;1,2;
2023/01/02;0700 UTC;0;927,3;927,3;927;;22;22,6;22,5;22;22,8;20,5;;89;;65;3,2;2,1;
2023/01/02;0800 UTC;0;927,5;927,5;927,3;;22,1;20,8;22,1;21,9;22,7;20,8;;93;93;42;3,9;2,1;
2023/01/02;0900 UTC;0;927,7;927,7;927,4;;22;20,6;22,1;22;20,8;20,3;93;90;92;75;3,2;1,1;
2023/01/02;1000 UTC;0;928;928;927,7;78,3;22,2;22,7;22,2;22;22,8;20,5;;91;;110;2,4;1,9;
2023/01/02;1100 UTC;0;928,4;928,4;928;542,3;23,9;20,6;23,9;22,2;22,7;20,5;;82;82;55;3,4;1,5;
2023/01/02;1200 UTC;0;928,6;928,7;928,5;1491,2;25,6;19,6;25,8;23,9;21;19,4;82;69;70;20;4,7;3;
2023/01/02;1300 UTC;0;928,6;928,6;928,6;2606,6;27,4;19,9;27,5;25,6;20,9;19,6;72;63;64;33;5,3;2,9;
2023/01/02;1400 UTC;0;928,2;928,6;928,2;3556,3;28,4;21;28,5;27,3;21,1;19,8;67;61;64;42;6,8;3,3;
2023/01/02;1500 UTC;0;926,9;928,2;926,9;1048,9;27,7;20,3;28,6;27,3;21,1;19,6;67;60;64;27;6;2,4;
2023/01/02;1600 UTC;0;925,8;926,9;925,7;2310,6;26,6;17,7;29,7;26,6;20,9;17,7;65;52;58;313;6,3;2,8;
2023/01/02;1700 UTC;14,6;925,8;925,9;925,5;529,6;21,7;19,9;26,6;21,5;20,9;17,2;90;58;90;274;10,6;3,3;
2023/01/02;1800 UTC;21,4;924,5;926,7;924,5;214,9;21,7;22,3;22,7;19,2;22,3;18,5;;84;;253;10;,7;
2023/01/02;1900 UTC;,2;924,3;924,7;924,3;1240,6;24,3;20,1;24,5;21,6;23,2;19,7;;76;78;330;3,4;1,4;
2023/01/02;2000 UTC;0;924,1;924,7;924,1;786,1;24,8;21;25,2;23,9;21,3;20,1;82;76;80;70;3,1;1,2;
