REGIAO:;NE
UF:;MA
ESTACAO:;ZE DOCA
CODIGO (WMO):;A255
LATITUDE:;-3,26916666
LONGITUDE:;-45,65111111
ALTITUDE:;45,5
DATA DE FUNDACAO:;18/09/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1006,2;1006,2;1005,5;0;25;23,2;25,9;25;23,3;22,8;90;83;90;;;;
2023/01/01;0100 UTC;0;1006,9;1006,9;1006,2;0;25;23,3;25,2;25;23,3;23,1;90;88;90;;;;
2023/01/01;0200 UTC;0;1007;1007;1006,8;0;25,1;23,5;25,1;25;23,5;23,1;91;89;91;;;;
2023/01/01;0300 UTC;0;1006,2;1007;1006,2;0;24,7;23,5;25,1;24,7;23,7;23,4;93;91;93;;;;
2023/01/01;0400 UTC;0;1005,5;1006,2;1005,4;0;24,4;23,6;24,8;24,4;23,7;23,5;95;93;95;;;;
2023/01/01;0500 UTC;0;1004,7;1005,5;1004,7;0;24,2;23,5;24,4;24,2;23,6;23,4;95;95;95;;;;
2023/01/01;0600 UTC;0;1004,3;1004,7;1004,3;0;24,3;23,5;24,4;24,1;23,5;23,3;96;95;96;;;;
2023/01/01;0700 UTC;0;1004,1;1004,3;1004,1;0;24,1;23,5;24,3;24;23,5;23,4;97;96;97;;;;
2023/01/01;0800 UTC;0;1004,5;1004,5;1004,1;0;23,8;23,3;24,1;23,8;23,5;23,3;97;96;97;;;;
2023/01/01;0900 UTC;0;1005,1;1005,1;1004,5;,3;23,8;23,3;23,8;23,7;23,3;23,2;97;97;97;;;;
2023/01/01;1000 UTC;0;1005,9;1005,9;1005,1;120,6;24,3;23,7;24,4;23,8;23,8;23,3;98;96;96;;;;
2023/01/01;1100 UTC;0;1006,6;1006,6;1005,9;777,2;26,4;24;26,5;24,3;24,5;23,7;96;87;87;;;;
2023/01/01;1200 UTC;0;1006,9;1007;1006,6;1328,1;27,8;24,4;27,8;26,4;25;24,2;89;81;82;;;;
2023/01/01;1300 UTC;0;1006,6;1006,9;1006,5;2021,8;29,2;23,1;29,5;27,6;24,5;22,9;82;69;70;;;;
2023/01/01;1400 UTC;0;1006,5;1006,6;1006,4;2454,4;29,5;23,5;30;28,8;24;22,7;72;68;70;;;;
2023/01/01;1500 UTC;0;1006;1006,5;1006;2142,9;31;23,6;31;29;24,6;23,2;74;65;65;;;;
2023/01/01;1600 UTC;2,2;1005,1;1006;1005,1;2771,8;31,3;23,8;31,4;28,2;25,8;22,9;82;63;64;;;;
2023/01/01;1700 UTC;0;1004,1;1005,1;1004;3181,6;29,6;21,8;31,6;29,6;24;21,6;66;60;63;;;;
2023/01/01;1800 UTC;0;1003,2;1004,1;1003,2;2112,7;30,4;23,2;31,2;29,6;23,2;21,9;67;59;65;;;;
2023/01/01;1900 UTC;0;1002,7;1003,2;1002,5;2285,3;31,7;23,2;32,2;30,4;24;22,8;66;59;61;;;;
2023/01/01;2000 UTC;0;1002,5;1002,7;1002,5;1003,9;31;23,6;32;31;23,7;22,7;65;60;65;;;;
2023/01/01;2100 UTC;2,2;1003,5;1003,7;1002,4;206,1;25,9;23,9;31;25,1;23,9;22;92;64;89;;;;
2023/01/01;2200 UTC;0;1004,6;1004,6;1003,5;,7;26;23,9;26,3;25,8;24;23,4;89;84;88;;;;
2023/01/01;2300 UTC;0;1005,4;1005,4;1004,6;0;26,2;23,6;26,3;25,9;24,1;23,3;88;84;85;;;;
2023/01/02;0000 UTC;0;1006;1006,1;1005,4;0;25,6;23,9;26,3;25,6;24,4;23,4;90;84;90;;;;
2023/01/02;0100 UTC;0;1006,5;1006,5;1006;0;25,5;23,6;25,6;25,4;23,8;23,6;90;89;89;;;;
2023/01/02;0200 UTC;,2;1006,6;1006,7;1006,5;0;25,2;23,7;25,6;25,2;23,7;23,6;91;89;91;;;;
2023/01/02;0300 UTC;0;1006,4;1006,7;1006,3;0;24,6;23,3;25,2;24,6;23,7;23,2;93;91;92;;;;
2023/01/02;0400 UTC;0;1005,9;1006,4;1005,9;0;24,4;23,2;24,6;24,3;23,3;23,1;93;92;93;;;;
2023/01/02;0500 UTC;0;1005,5;1005,9;1005,5;0;24,2;23;24,5;24,2;23,2;23;94;92;94;;;;
2023/01/02;0600 UTC;0;1005,5;1005,5;1005,4;0;23,9;22,9;24,2;23,9;23,1;22,9;95;94;94;;;;
2023/01/02;0700 UTC;0;1005,6;1005,6;1005,4;0;24;22,9;24,1;23,8;23;22,9;94;93;93;;;;
2023/01/02;0800 UTC;0;1005,6;1005,7;1005,5;0;24,2;23;24,2;24;23;22,9;94;93;93;;;;
2023/01/02;0900 UTC;0;1006;1006;1005,4;,8;23,7;22,9;24,2;23,7;23;22,9;95;93;95;;;;
2023/01/02;1000 UTC;0;1006,5;1006,5;1006;273,9;24,9;23,5;24,9;23,7;23,7;22,9;96;92;92;;;;
2023/01/02;1100 UTC;0;1007;1007;1006,5;979,8;26,2;23,8;26,4;24,8;24,3;23,3;92;87;87;;;;
2023/01/02;1200 UTC;0;1007,4;1007,4;1007;1297;27,8;24,1;27,8;26,2;24,6;23,7;87;79;81;;;;
2023/01/02;1300 UTC;0;1007,4;1007,6;1007,4;2073,4;29,8;23,7;29,9;27,7;24,3;23,2;81;69;70;;;;
2023/01/02;1400 UTC;0;1006,8;1007,4;1006,8;3484,4;31,2;22,5;31,4;29,8;23,7;22,3;70;60;60;;;;
2023/01/02;1500 UTC;0;1006,1;1006,8;1006,1;3408,6;31,2;22,5;32,3;31,1;23,4;22;63;57;60;;;;
2023/01/02;1600 UTC;0;1004,7;1006,1;1004,7;2862,1;31,9;22,6;32,5;31,2;23,2;21,9;60;54;58;;;;
2023/01/02;1700 UTC;0;1003,8;1004,7;1003,7;1957,9;29,9;24,1;33;29,3;24,3;21,6;73;54;71;;;;
2023/01/02;1800 UTC;0;1003,2;1003,8;1003,2;2108,8;29,4;21,3;32,6;29,2;24,6;20,9;71;54;62;;;;
2023/01/02;1900 UTC;6,8;1002,9;1003,6;1002,9;1120,7;24,9;22,9;30,4;24,7;23,3;20,1;92;57;89;;;;
2023/01/02;2000 UTC;2;1003,2;1003,2;1002,5;292,3;26,5;24,7;26,5;24,8;24,7;22,4;91;85;90;;;;
2023/01/02;2100 UTC;,8;1003,3;1003,7;1003,1;102,5;24,6;23,2;26,5;24,5;24,9;23;92;83;92;;;;
2023/01/02;2200 UTC;0;1003,6;1003,6;1003,1;3;24,4;23,1;24,6;24,3;23,3;22,8;93;91;92;;;;
2023/01/02;2300 UTC;0;1005;1005;1003,6;0;24,8;23,3;24,9;24,3;23,4;23;94;91;92;;;;
2023/01/03;0000 UTC;0;1005,1;1005,1;1004,8;0;24,3;23,4;24,8;24,3;23,4;23,2;94;91;94;;;;
2023/01/03;0100 UTC;0;1005,9;1005,9;1005,1;0;24,3;23,2;24,4;24,2;23,4;23,2;95;94;94;;;;
2023/01/03;0200 UTC;0;1006,3;1006,3;1005,9;0;24,2;23,4;24,4;24,1;23,4;23,2;95;94;95;;;;
2023/01/03;0300 UTC;0;1006,6;1006,6;1006,3;0;24;23,2;24,2;23,9;23,3;23,2;95;95;95;;;;
2023/01/03;0400 UTC;0;1006,2;1006,6;1006,2;0;23,6;23;24;23,6;23,2;23;96;95;96;;;;
2023/01/03;0500 UTC;0;1005,5;1006,2;1005,5;0;23,4;22,9;23,7;23,4;23;22,8;97;96;97;;;;
2023/01/03;0600 UTC;0;1005,1;1005,5;1005,1;0;23,3;22,8;23,4;23,3;22,9;22,8;97;97;97;;;;
2023/01/03;0700 UTC;0;1004,9;1005,2;1004,9;0;23;22,6;23,3;23;22,8;22,6;98;97;98;;;;
2023/01/03;0800 UTC;0;1005,1;1005,1;1004,8;0;23;22,6;23;22,9;22,6;22,5;98;97;97;;;;
2023/01/03;0900 UTC;0;1005,6;1005,6;1005,1;,8;22,8;22,4;23,2;22,8;22,6;22,3;98;96;98;;;;
2023/01/03;1000 UTC;0;1005,9;1006;1005,6;261;23,6;22,9;23,7;22,8;23;22,4;98;96;96;;;;
2023/01/03;1100 UTC;0;1006,6;1006,6;1005,9;995,1;26,1;24;26,2;23,7;24,2;23;96;88;88;;;;
2023/01/03;1200 UTC;0;1007,2;1007,2;1006,6;1587,5;27,6;24,1;28,2;25,9;24,9;23,8;90;81;81;;;;
