REGIAO:;SE
UF:;ES
ESTACAO:;ECOPORANGA
CODIGO (WMO):;A631
LATITUDE:;-18,29138888
LONGITUDE:;-40,73638888
ALTITUDE:;224
DATA DE FUNDACAO:;17/03/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;991,1;991,1;990,1;;24,1;21,1;24,8;24,1;21,2;20,5;83;77;83;;;;
2023/01/01;0100 UTC;0;991,4;991,5;991,1;;23,8;21,7;24,1;23,8;21,7;21,1;88;83;88;;;;
2023/01/01;0200 UTC;0;991,4;991,6;991,4;;23,5;21,6;23,8;23,3;21,8;21,6;91;88;89;;;;
2023/01/01;0300 UTC;0;990,8;991,4;990,8;;23,6;21,9;23,6;23,4;21,9;21,6;91;89;90;;;;
2023/01/01;0400 UTC;,2;990,1;990,8;990,1;;23;21,6;23,6;23;22,4;21,6;95;90;92;;;;
2023/01/01;0500 UTC;0;989,6;990,1;989,6;;22,8;21,9;23;22,7;21,9;21,6;95;92;95;;;;
2023/01/01;0600 UTC;0;989,1;989,6;989,1;;22,5;21,9;22,8;22,5;22,1;21,8;96;94;96;;;;
2023/01/01;0700 UTC;0;989,1;989,2;989;;22,7;22,2;22,7;22,5;22,2;21,8;97;96;97;;;;
2023/01/01;0800 UTC;0;989,7;989,7;989,1;;22,3;21,6;22,7;22,2;22,1;21,6;97;95;96;;;;
2023/01/01;0900 UTC;0;990,2;990,3;989,7;;23,1;22;23,1;22;22,3;21,5;97;94;94;;;;
2023/01/01;1000 UTC;0;990,9;990,9;990,1;;24,7;21;25;22,8;22,1;21;94;80;80;;;;
2023/01/01;1100 UTC;0;991;991;990,9;11,1;25,5;21,3;25,8;24,5;22,1;20,4;83;75;78;;;;
2023/01/01;1200 UTC;0;991,2;991,2;991;16,4;26,6;20,1;27,1;25;21,8;19,9;79;67;68;;;;
2023/01/01;1300 UTC;0;991,1;991,2;991;;29;19,7;29;26,1;21,2;18,6;70;57;57;;;;
2023/01/01;1400 UTC;0;990,2;991,1;990,2;;29,2;18,3;29,8;28,1;20,4;17,4;61;49;52;;;;
2023/01/01;1500 UTC;0;989,5;990,2;989,5;;29,2;19,4;30;28,5;20;17,9;58;50;56;;;;
2023/01/01;1600 UTC;0;988,6;989,5;988,6;;30,7;17,5;31,1;29,1;20,2;17,1;57;44;45;;;;
2023/01/01;1700 UTC;0;987,8;988,6;987,8;;31,4;17,7;31,4;29,6;19,5;16,5;50;43;44;;;;
2023/01/01;1800 UTC;0;987,2;987,8;987,2;;30,4;18,7;31,9;30,4;19,6;16,8;50;42;50;;;;
2023/01/01;1900 UTC;0;987,3;987,3;987,1;;29,5;20,5;30,8;29,3;21;18,2;60;48;58;;;;
2023/01/01;2000 UTC;0;987,6;987,6;987,1;;28,1;20,4;29,8;28,1;20,6;19,6;63;55;63;;;;
2023/01/01;2100 UTC;0;988,1;988,1;987,6;;26,3;21,5;28,1;26,3;21,7;20,3;75;63;75;;;;
