REGIAO:;SE
UF:;MG
ESTACAO:;MONTALVANIA
CODIGO (WMO):;A526
LATITUDE:;-14,40833333
LONGITUDE:;-44,40416666
ALTITUDE:;519,52
DATA DE FUNDACAO:;26/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0300 UTC;;954,7;955,2;954,7;;19,6;18,2;20,3;19,6;18,9;18,2;91;91;91;322;2,1;1,4;
2023/01/01;0400 UTC;;954,4;954,7;954,2;;19,2;17,8;19,7;19,1;18,3;17,8;92;91;92;305;2,1;1,1;
2023/01/01;0500 UTC;;954,2;954,4;954,2;;18,9;17,7;19,2;18,8;17,8;17,5;92;92;92;318;2;1,5;
2023/01/01;0600 UTC;;954,2;954,4;954,1;;19,2;17,9;19,2;18,9;18;17,6;92;92;92;154;2,1;,5;
2023/01/01;0700 UTC;;954,3;954,3;954;;18,6;17,3;19,2;18,5;17,9;17,2;93;92;92;140;1,4;,5;
2023/01/01;0800 UTC;;954,7;954,7;954,3;;18,4;17,2;18,6;18,2;17,4;17;93;92;93;256;2;1;
2023/01/01;0900 UTC;;955,7;955,7;954,7;;18,3;17,1;18,4;18,2;17,2;17;93;93;93;296;2,1;1,5;
2023/01/01;1000 UTC;;956,1;956,2;955,7;;21,5;19,1;21,5;18,3;19,6;17,1;93;86;86;187;2,2;,8;
2023/01/01;1100 UTC;;956,3;956,3;956,1;;23,8;19,2;24,3;21,5;19,8;18,6;86;72;75;71;2,5;1,1;
2023/01/01;1200 UTC;;956,6;956,7;956,3;;26,3;18,2;26,3;23,9;19,6;17,7;75;61;61;97;6,5;3,5;
2023/01/01;1300 UTC;;956,3;956,6;956,3;;27,5;18,4;27,6;25,6;18,9;17,6;63;55;57;89;7,1;3,9;
2023/01/01;1400 UTC;;955,8;956,3;955,8;;28,8;17,6;29,1;27,6;18,7;17,3;57;51;51;74;7,9;4,1;
2023/01/01;1500 UTC;;955,4;955,8;955,3;;27,9;17,6;29,8;27,7;18,9;16,8;54;48;54;58;7,8;3,9;
2023/01/01;1600 UTC;;954,7;955,4;954,7;;29,4;17,4;30,8;27,6;19,1;17,1;55;46;48;64;7;2,9;
2023/01/01;1700 UTC;;953,9;954,7;953,9;;29,9;17,1;30,8;28,5;19,2;17;53;45;46;73;6,3;2,8;
2023/01/01;1800 UTC;;953,1;953,9;953,1;;30,2;17,2;30,8;28,9;19,2;16,5;53;42;46;111;6,9;3,3;
2023/01/01;1900 UTC;;952,6;953,1;952,5;;30,3;16,5;30,7;29,7;18;15,9;48;42;43;87;6,6;2,6;
