REGIAO:;SE
UF:;SP
ESTACAO:;MARILIA
CODIGO (WMO):;A763
LATITUDE:;-22,235222
LONGITUDE:;-49,965111
ALTITUDE:;660
DATA DE FUNDACAO:;15/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;938,8;938,9;938,1;;24,1;22;24,8;23,7;22;19,7;89;74;88;51;4,1;1,2;
2023/01/01;0100 UTC;0;939,3;939,3;938,8;;24,1;22,6;24,3;24;22,6;22,1;92;88;91;74;4,5;1,4;
2023/01/01;0200 UTC;0;939,4;939,5;939,2;;23,4;23,3;24,1;23,3;23,3;22,6;99;91;99;65;6,5;2,6;
2023/01/01;0300 UTC;0;938,8;939,4;938,8;;23,1;21,7;23,4;23,1;23,2;21,6;99;90;91;36;6,7;2;
2023/01/01;0400 UTC;0;938,8;938,9;938,8;;23;20,9;23,2;22,9;21,8;20,9;94;88;88;44;6;1,9;
2023/01/01;0500 UTC;0;938,2;938,8;938,2;;23,2;21,6;23,2;22,9;21,6;20,8;91;88;91;53;5,6;2,1;
2023/01/01;0600 UTC;0;938,1;938,3;938,1;;21,8;21,8;23,2;21,5;21,8;21,4;100;91;100;73;5,9;2;
2023/01/01;0700 UTC;0;938;938,1;937,9;;21,6;21,6;21,8;21,4;21,8;21,4;100;100;100;63;5,4;1,6;
2023/01/01;0800 UTC;0;938;938;937,8;;21,4;21,4;21,6;21,3;21,6;21,3;100;100;100;50;4,9;1,2;
2023/01/01;0900 UTC;0;938,4;938,4;937,9;;20,7;20,7;21,5;20,5;21,5;20,5;100;100;100;73;4,6;1;
2023/01/01;1000 UTC;0;938,9;938,9;938,4;190,1;23;22,9;23;20,7;22,9;20,7;100;100;100;40;3,5;1,4;
2023/01/01;1100 UTC;0;939,5;939,5;938,9;945,1;24,2;22,5;24,3;22,7;22,9;22,3;100;90;90;62;4,5;1,6;
2023/01/01;1200 UTC;0;939,9;939,9;939,5;1766,3;25,4;22,7;25,5;24,1;23,2;22,2;92;83;85;83;3,7;1,8;
